번호,한글명,영문명
2304,대두유를 추출할 때 얻는 오일 케이크와 고체 형태의 유박[잘게 부순 것인지 또는 펠릿(pellet) 모양인지에 상관없다],"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil."
2305,땅콩기름을 추출할 때 얻는 오일 케이크와 고체 형태의 유박[잘게 부순 것인지 또는 펠릿(pellet) 모양인지에 상관없다],"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil."
2306,오일 케이크와 그 밖의 고체 형태인 유박[잘게 부순 것인지 또는 펠릿(pellet) 모양인지에 상관없으며 제2304호나 제2305호의 것은 제외한 식물성ㆍ미생물성 지방이나 기름을 추출할 때 생기는 것으로 한정한다],"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading 23.04. or 23.05."
2307,와인리스(wine lees)와 생주석(argol),Wine lees; argol.
2308,사료용 식물성 물질ㆍ식물성 웨이스트(waste)ㆍ식물성 박(residue)류와 부산물[펠릿(pellet) 모양인지에 상관없으며 따로 분류되지 않은 것으로 한정한다],"Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included."
2309,사료용 조제품,Preparations of a kind used in animal feeding.
2401,잎담배와 담배 부산물,Unmanufactured tobacco; tobacco refuse.
2402,시가(cigar)ㆍ셔루트(cheroot)ㆍ시가릴로(cigarillo)ㆍ궐련(담배나 담배 대용물인 것으로 한정한다),"Cigars, cheroots, cigarillos and cigarettes, of tobacco or of tobacco substitutes."
2403,"그 밖의 제조 담배, 제조한 담배 대용물, 균질화하거나 재구성한 담배ㆍ담배 추출물(extract)과 에센스(essence)",Other manufactured tobacco and manufactured tobacco substitutes; “homogenised” or “reconstituted” tobacco; tobacco extracts and essences.
2404,"담배·재구성한 담배·니코틴이나 담배 대용물·니코틴 대용물을 함유한 물품(연소시키지 않고 흡입하도록 만들어진 것으로 한정한다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것","Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body."
2501,"소금(식탁염과 변성염을 포함한다), 순염화나트륨[수용액(水溶液)인지 또는 고결(固結)방지제나 유동제를 첨가한 것인지에 상관없다]과 바닷물","Salt (including table salt and denatured salt) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents; sea water."
2502,황화철광[배소(焙燒)하지 않은 것으로 한정한다],Unroasted iron pyrites.
2503,황[승화황(昇華黃)ㆍ침강황(沈降黃)ㆍ콜로이드황은 제외한다],"Sulphur of all kinds, other than sublimed sulphur, precipitated sulphur and colloidal sulphur."
2504,천연 흑연,Natural graphite.
2505,천연 모래(착색된 것인지에 상관없으며 제26류의 금속을 함유하는 모래는 제외한다),"Natural sands of all kinds, whether or not coloured, other than metalbearing sands of Chapter 26."
2506,석영(천연 모래는 제외한다)과 규암[톱질이나 그 밖의 방법으로 거칠게 다듬거나 단순히 절단하여 직사각형(정사각형을 포함한다)의 블록 모양이나 슬래브 모양으로 한 것인지에 상관없다],"Quartz (other than natural sands); quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape."
2507,고령토와 그 밖의 고령토질의 점토[하소(煆燒)한 것인지에 상관없다],"Kaolin and other kaolinic clays, whether or not calcined."
2508,"그 밖의 점토(제6806호의 팽창된 점토는 제외한다)ㆍ홍주석(紅柱石)ㆍ남정석(藍晶石)ㆍ규선석(硅線石) [하소(煆燒)한 것인지에 상관없다], 멀라이트(mullite), 샤모트(chamotte)나 다이나스 어스(dinas earth)","Other clays (not including expanded clays of heading 68.06), andalusite, kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earths."
2509,초크,Chalk.
2510,천연 인산칼슘ㆍ천연 인산알루미늄칼슘ㆍ인산염을 함유한 초크,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk."
2511,"천연 황산바륨[중정석(重晶石)], 천연 탄산바륨[독중석(毒重石)][하소(煆燒)한 것인지에 상관없으며 제2816호의 산화바륨은 제외한다]","Natural barium sulphate (barytes); natural barium carbonate (witherite), whether or not calcined, other than barium oxide of heading 28.16."
2512,규조토[예: 키절구어(kieselguhr)ㆍ트리폴리트(tripolite)ㆍ다이어토마이트(diatomite)]와 이와 유사한 규산질의 흙[하소(煆燒)한 것인지에 상관없으며 겉보기 비중이 1 이하인 것으로 한정한다],"Siliceous fossil meals (for example, kieselguhr, tripolite and diatomite) and similar siliceous earths, whether or not calcined, of an apparent specific gravity of 1 or less."
2513,"부석(浮石), 금강사(金剛砂), 천연 커런덤(corundum)ㆍ천연 석류석과 그 밖의 천연 연마재료(열처리한 것인지에 상관없다)","Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated."
2514,슬레이트[톱질이나 그 밖의 방법으로 거칠게 다듬거나 단순히 절단하여 직사각형(정사각형을 포함한다)의 블록 모양이나 슬래브 모양으로 한 것인지에 상관없다],"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape."
2515,대리석ㆍ트래버틴(travertine)ㆍ에코신(ecaussine)과 그 밖의 석비(石碑)용ㆍ건축용 석회질의 암석(겉보기 비중이 2.5 이상인 것으로 한정한다)과 설화석고(alabaster)[톱질이나 그 밖의 방법으로 거칠게 다듬거나 단순히 절단하여 직사각형(정사각형을 포함한다)의 블록 모양이나 슬래브 모양으로 한 것인지에 상관없다],"Marble, travertine, ecaussine and other calcareous monumental or building stone of an apparent specific gravity of 2.5 or more, and alabaster, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape."
2516,화강암ㆍ반암(斑巖)ㆍ현무암ㆍ사암과 그 밖의 석비(石碑)용ㆍ건축용 암석[톱질이나 그 밖의 방법으로 거칠게 다듬거나 단순히 절단하여 직사각형(정사각형을 포함한다)의 블록 모양이나 슬래브 모양으로 한 것인지에 상관없다],"Granite, porphyry, basalt, sandstone and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape."
2517,"자갈ㆍ왕자갈ㆍ쇄석(碎石)[콘크리트용ㆍ도로포장용ㆍ철도용이나 그 밖의 밸러스트(ballast)용에 일반적으로 사용되는 것으로 한정한다], 싱글(shingle)과 플린트(flint)(열처리한 것인지에 상관없다), 슬래그(slag)ㆍ드로스(dross)나 이와 유사한 산업폐기물의 머캐덤(macadam)(이 호의 앞부분에 열거한 물품들과 혼합한 것인지에 상관없다), 타르 머캐덤(tarred macadam), 제2515호나 제2516호의 암석의 알갱이ㆍ파편ㆍ가루(열처리한 것인지에 상관없다)","Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; granules, chippings and powder, of stones of heading 25.15 or 25.16, whether or not heat-treated."
2518,백운석(白雲石)[하소(煆燒)한 것인지 또는 소결(燒結)한 것인지에 상관없으며 톱질이나 그 밖의 방법으로 거칠게 다듬거나 단순히 절단하여 직사각형(정사각형을 포함한다)의 블록 모양이나 슬래브 모양으로 한 것을 포함한다],"Dolomite, whether or not calcined or sintered, including dolomite roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape. "
2519,"천연 탄산마그네슘(마그네사이트), 용융(溶融) 마그네시아, 소결(燒結)한 마그네시아[소결(燒結)하기 전에 첨가된 기타 산화물을 소량 함유한 것인지에 상관없다], 그 밖의 산화마그네슘(순수한 것인지에 상관없다)","Natural magnesium carbonate (magnesite); fused magnesia; dead-burned (sintered) magnesia, whether or not containing small quantities of other oxides added before sintering; other magnesium oxide, whether or not pure."
2520,"석고, 무수(無水)석고, 플라스터(plaster)[하소(煆燒)한 석고나 황산칼슘을 원료로 한 것으로서 착색한 것인지 또는 촉진제나 지연제를 소량 첨가한 것인지에 상관없다]","Gypsum; anhydrite; plasters (consisting of calcined gypsum or calcium sulphate) whether or not coloured, with or without small quantities of accelerators or retarders."
2521,"석회석 융제(融劑), 석회석과 그 밖의 석회질의 암석(석회나 시멘트 제조용으로 한정한다)","Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement."
2522,"생석회(生石灰), 소석회(消石灰), 수경성(水硬性) 석회(제2825호의 산화칼슘과 수산화칼슘은 제외한다)","Quicklime, slaked lime and hydraulic lime, other than calcium oxide and hydroxide of heading 28.25."
2523,포틀랜드(Portland) 시멘트ㆍ알루미나(aluminous) 시멘트ㆍ슬래그(slag) 시멘트ㆍ슈퍼설페이트(super sulphate) 시멘트와 이와 유사한 수경성(水硬性) 시멘트[착색한 것인지 또는 클링커(clinker) 형태로 된 것인지에 상관없다],"Portland cement, aluminous cement, slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers."
2524,석면,Asbestos.
2525,운모(쪼갠 것을 포함한다)와 운모 웨이스트(waste),"Mica, including splitings; mica waste."
2526,천연 동석(凍石)[톱질이나 그 밖의 방법으로 거칠게 다듬거나 단순히 절단하여 직사각형(정사각형을 포함한다)의 블록 모양이나 슬래브 모양으로 한 것인지에 상관없다]과 활석,"Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc."
2528,"천연 붕산염과 그 정광(精鑛)[하소(煆燒)한 것인지에 상관없으며 천연 염수(鹽水)에서 분리한 붕산염은 제외한다], 천연 붕산(건조한 상태에서 측정한 붕산의 함유량이 전 중량의 100분의 85 이하인 것으로 한정한다)","Natural borates and concentrates thereof(whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85 % of H3BO3 calculated on the dry weight."
2529,"장석(長石), 백류석(白榴石), 하석(霞石)과 하석 섬장암(霞石 閃長巖), 형석(螢石)",Feldspar; leucite; nepheline and nepheline syenite; fluorspar.
2530,따로 분류되지 않은 광물,Mineral substances not elsewhere specified or included.
2601,철광과 그 정광(精鑛)[배소(焙燒)한 황화철광을 포함한다],"Iron ores and concentrates, including roasted iron pyrites."
2602,망간광과 그 정광(精鑛)[건조 상태에서 측정한 망간의 함유량이 전 중량의 100분의 20 이상인 철망간광과 그 정광(精鑛)을 포함한다],"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight."
2603,구리광과 그 정광(精鑛),Copper ores and concentrates.
2604,니켈광과 그 정광(精鑛),Nickel ores and concentrates.
2605,코발트광과 그 정광(精鑛),Cobalt ores and concentrates.
2606,알루미늄광과 그 정광(精鑛),Aluminium ores and concentrates.
2607,납광과 그 정광(精鑛),Lead ores and concentrates.
2608,아연광과 그 정광(精鑛),Zinc ores and concentrates.
2609,주석광과 그 정광(精鑛),Tin ores and concentrates.
2610,크로뮴광과 그 정광(精鑛),Chromium ores and concentrates.
2611,텅스텐광과 그 정광(精鑛),Tungsten ores and concentrates.
2612,우라늄광이나 토륨광과 그 정광(精鑛),Uranium or thorium ores and concentrates.
2613,몰리브덴광과 그 정광(精鑛),Molybdenum ores and concentrates.
2614,티타늄광과 그 정광(精鑛),Titanium ores and concentrates.
2615,니오븀광ㆍ탄탈륨광ㆍ바나듐광ㆍ지르코늄광과 이들의 정광(精鑛),"Niobium, tantalum, vanadium or zirconium ores and concentrates."
2616,귀금속광과 그 정광(精鑛),Precious metal ores and concentrates.
2617,그 밖의 광과 그 정광(精鑛),Other ores and concentrates.
2618,철강을 제조할 때 생기는 알갱이 모양의 슬래그(slag)[슬래그 샌드(slag sand)],Granulated slag (slag sand) from the manufacture of iron or steel.
2619,"철강을 제조할 때 생기는 슬래그(slag)ㆍ드로스(dross)[알갱이 모양의 슬래그는 제외한다], 스케일링(scaling)과 그 밖의 웨이스트(waste)","Slag, dross (other than granulated slag), scalings and other waste from the manufacture of iron or steel."
2620,"슬래그(slag), 회(灰), 잔재물(금속ㆍ비소나 이들의 화합물을 함유한 것으로 한정하며, 철강을 제조할 때 생기는 것은 제외한다)","Slag, ash and residues (other than from the manufacture of iron or steel) containing metals, arsenic or their compounds."
2621,"그 밖의 슬래그(slag)와 회(灰)[해초의 회(켈프)를 포함한다], 생활폐기물의 소각으로 생기는 회와 잔재물","Other slag and ash, including seaweed ash (kelp); ash and residues from the incineration of municipal waste."
2701,석탄과 석탄으로 제조한 연탄ㆍ조개탄(ovoid)과 이와 유사한 고체 연료,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal."
2702,갈탄(응결시킨 것인지에 상관없으며 흑옥은 제외한다),"Lignite, whether or not agglomerated, excluding jet."
2703,"토탄(토탄 찌꺼기를 포함하며, 응결시킨 것인지에 상관없다)","Peat (including peat litter), whether or not agglomerated."
2704,"코크스와 반성(半成) 코크스(석탄ㆍ갈탄ㆍ토탄으로 제조한 것으로 한정하며, 응결시킨 것인지에 상관없다), 레토르트 카본(retort carbon)","Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon."
2705,석탄가스ㆍ수성(水性)가스ㆍ발생로(發生爐)가스와 이와 유사한 가스(석유가스와 그 밖의 가스 상태의 탄화수소는 제외한다),"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons."
2706,석탄ㆍ갈탄ㆍ토탄을 증류해서 얻은 타르와 그 밖의 광물성 타르(탈수나 부분 증류한 것과 재구성한 타르를 포함한다),"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars."
2707,콜타르(coal tar)를 고온 증류하여 얻은 오일과 그 밖에 이와 유사한 물품[방향족(芳香族) 성분의 중량이 비방향족(非芳香族) 성분의 중량을 초과하는 것으로 한정한다],Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents.
2708,피치(pitch)와 피치코크스[콜타르(coal tar)나 그 밖의 광물성 타르에서 얻은 것으로 한정한다],"Pitch and pitch coke, obtained from coal tar or from other mineral tars."
2709,석유와 역청유(瀝靑油)(원유로 한정한다),"Petroleum oils and oils obtained from bituminous minerals, crude."
2710,"석유와 역청유(瀝靑油)(원유는 제외한다), 따로 분류되지 않은 조제품[석유나 역청유(瀝靑油)의 함유량이 전 중량의 100분의 70 이상인 것으로서 조제품의 기초 성분이 석유나 역청유(瀝靑油)인 것으로 한정한다], 웨이스트 오일(waste oil)","Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils."
2711,석유가스와 그 밖의 가스 상태의 탄화수소,Petrtoleum gases and other gaseous hydrocarbons.
2712,"석유젤리ㆍ파라핀왁스ㆍ마이크로크리스털린(micro crystalline)석유왁스ㆍ슬랙왁스(slack wax)ㆍ오조케라이트(ozokerite)ㆍ갈탄왁스ㆍ토탄왁스, 그 밖의 광물성 왁스와 합성이나 그 밖의 공정에 따라 얻은 이와 유사한 물품(착색한 것인지에 상관없다)","Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products obtained by synthesis or by other processes, whether or not coloured."
2713,석유코크스ㆍ석유역청(瀝靑)과 그 밖의 석유나 역청유(瀝靑油)의 잔재물,"Petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals."
2714,"천연의 역청(瀝靑)ㆍ아스팔트, 역청질 혈암(瀝靑質 頁巖), 유모 혈암(油母 頁巖), 타르샌드(tar sand), 아스팔타이트와 아스팔트질의 암석","Bitumen and asphalt, natural; bituminous or oil shale and tar sands; asphaltites and asphaltic rocks."
2715,"역청질(瀝靑質) 혼합물[천연 아스팔트, 천연 역청(瀝靑), 석유역청(瀝靑), 광물성 타르, 광물성 타르 피치(tar pitch)를 기본 재료로 한 것으로 한정한다(예: 역청질 매스틱과 컷백)]","Bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (for example, bituminous mastics, cut-backs)."
2716,전기에너지,Electrical energy.
2801,플루오르ㆍ염소ㆍ브롬ㆍ요드,"Fluorine, chlorine, bromine and iodine."
2802,승화황(昇華黃)ㆍ침강황(沈降黃)ㆍ콜로이드황,"Sulphur, sublimed or precipitated; colloidal sulphur."
2803,탄소[카본 블랙(carbon black)과 따로 분류되지 않은 탄소물품을 포함한다],Carbon (carbon blacks and other forms of carbon not elsewhere specified or included).
2804,수소ㆍ희가스(rare gas)와 그 밖의 비(非)금속원소,"Hydrogen, rare gases and other non-metals."
2805,"알칼리금속ㆍ알칼리토류금속, 희토류(稀土類)금속, 스칸듐과 이트륨(상호 혼합된 것인지 또는 상호 합금된 것인지에 상관없다), 수은","Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury."
2806,염화수소(염산)와 클로로황산,Hydrogen chloride (hydrochloric acid); chlorosulphuric acid.
2807,황산과 발연황산,Sulphuric acid; oleum.
2808,질산과 황질산,Nitric acid; sulphonitric acids.
2809,"오산화인, 인산, 폴리인산(화학적으로 단일한 것인지에 상관없다)","Diphosphorus pentaoxide; phosphoric acid; polyphosphoric acids, whether or not chemically defined."
2810,붕소의 산화물과 붕산,Oxides of boron; boric acids.
2811,그 밖의 무기산과 무기 비(非)금속 산화물,Other inorganic acids and other inorganic oxygen compounds of non-metals.
2812,비(非)금속 할로겐화물과 산화할로겐화물,Halides and halide oxides of non-metals.
2813,비(非)금속 황화물과 상관습(商慣習)상의 삼황화인,Sulphides of non-metals; commercial phosphorous trisulphide.
2814,무수(無水)암모니아나 암모니아수,"Ammonia, anhydrous or in aqueous solution."
2815,"수산화나트륨[가성(苛性)소다], 수산화칼륨[가성(苛性)칼륨], 과산화나트륨ㆍ과산화칼륨",Sodium hydroxide (caustic soda); potassium hydroxide (caustic potash); peroxides of sodium or potassium.
2816,"수산화마그네슘ㆍ과산화마그네슘, 스트론튬이나 바륨의 산화물ㆍ수산화물ㆍ과산화물","Hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides, of strontium or barium."
2817,산화아연과 과산화아연,Zinc oxide; zinc peroxide.
2818,"인조 커런덤(corundum)(화학적으로 단일한 것인지에 상관없다), 산화알루미늄, 수산화알루미늄","Artificial corundum, whether or not chemically defined; aluminium oxide; aluminium hydroxide."
2819,산화크로뮴과 수산화크로뮴,Chromium oxides and hydroxides.
2820,산화망간,Manganese oxides.
2821,산화철ㆍ수산화철ㆍ어스컬러(earth colour)[화합철분의 함유량이 산화제이철(Fe2O3)로서 계산하여 전 중량의 100분의 70 이상인 것으로 한정한다],Iron oxides and hydroxides; earth colours containing 70 % or more by weight of combined iron evaluated as Fe2O3.
2822,"산화코발트, 수산화코발트, 상관습(商慣習)상의 산화코발트",Cobalt oxides and hydroxides; commercial cobalt oxides.
2823,산화티타늄,Titanium oxides.
2824,산화납ㆍ연단(鉛丹)ㆍ오렌지납,Lead oxides; red lead and orange lead.
2825,"히드라진ㆍ히드록실아민과 이들의 무기염, 그 밖의 무기염기ㆍ금속산화물ㆍ금속수산화물ㆍ금속과산화물","Hydrazine and hydroxylamine and their inorganic salts; other inorganic bases; other metal oxides, hydroxides and peroxides."
2826,"플루오르화물, 플루오르화규산염ㆍ플루오르화알루미늄산염과 그 밖의 플루오르착염","Fluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts."
2827,"염화물ㆍ산화염화물ㆍ수산화염화물, 브롬화물ㆍ산화브롬화물과 요드화물ㆍ산화요드화물","Chlorides, chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and iodide oxides."
2828,하이포아염소산염ㆍ상관습(商慣習)상의 하이포아염소산칼슘ㆍ아염소산염ㆍ하이포아브롬산염,Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites.
2829,"염소산염과 과염소산염, 브롬산염과 과브롬산염, 요드산염과 과요드산염",Chlorates and perchlorates; bromates and perbromates; iodates and periodates.
2830,황화물과 폴리황화물(화학적으로 단일한 것인지에 상관없다),"Sulphides; polysulphides, whether or not chemically defined."
2831,아이티온산염과 술폭실산염,Dithionites and sulphoxylates.
2832,아황산염과 티오황산염,Sulphites; thiosulphates.
2833,황산염ㆍ명반ㆍ과산화황산염(과황산염),Sulphates; alums; peroxosulphates (persulphates).
2834,아질산염과 질산염,Nitrites; nitrates.
2835,"포스피네이트(하이포아인산염)ㆍ포스포네이트(아인산염)ㆍ인산염, 폴리인산염(화학적으로 단일한 것인지에 상관없다)","Phosphinates (hypophosphites), phosphonates (phosphites) and phosphates; polyphosphates, whether or not chemically defined."
2836,"탄산염, 과산화탄산염(과탄산염), 상관습(商慣習)상의 탄산암모늄(카르밤산암모늄을 함유한 것으로 한정한다)",Carbonates; peroxocarbonates (percarbonates); commercial ammonium carbonate containing ammonium carbamate.
2837,시안화물ㆍ산화시안화물ㆍ시안착염,"Cyanides, cyanide oxides and complex cyanides."
2839,규산염과 상관습(商慣習)상의 알칼리금속의 규산염,Silicates; commercial alkali metal silicates.
2840,붕산염과 과산화붕산염(과붕산염),Borates; peroxoborates (perborates).
2841,산화금속산염이나 과산화금속산염,Salts of oxometallic or peroxometallic acids.
2842,"그 밖의 무기산염이나 과산화산염[알루미노실리케이트(화학적으로 단일한 것인지에 상관없다)를 포함하며, 아지드화물은 제외한다]","Other salts of inorganic acids or peroxoacides (including aluminosilicates whether or not chemically defined), other than azides."
2843,"콜로이드 귀금속, 귀금속의 무기화합물이나 유기화합물(화학적으로 단일한 화합물인지에 상관없다), 귀금속의 아말감(amalgam)","Colloidal percious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals."
2844,"방사성원소ㆍ방사성동위원소(핵분열성이나 연료핵친원소와 동위원소를 포함한다)와 이들의 화합물, 이들의 물품을 함유한 혼합물과 잔재물",Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products.
2845,동위원소(제2844호의 것은 제외한다)와 그 동위원소의 무기화합물이나 유기화합물(화학적으로 단일한 것인지에 상관없다),"Isotopes other than those of heading 28.44; compounds, inorganic or organic, of such isotopes, whether or not chemically defined."
2846,희토류(稀土類)금속ㆍ이트륨ㆍ스칸듐이나 이들 금속혼합물의 무기ㆍ유기 화합물,"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures of these metals."
2847,과산화수소(요소로 고체화한 것인지에 상관없다),"Hydrogen peroxide, whether or not solidified with urea."
2849,탄화물(화학적으로 단일한 것인지에 상관없다),"Carbides, whether or not chemically defined."
2850,수소화물ㆍ질화물ㆍ아지드화물ㆍ규화물ㆍ붕화물(화학적으로 단일한 것인지에 상관없으며 제2849호의 탄화물은 제외한다),"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 28.49."
2852,무기나 유기의 수은화합물[화학적으로 단일한 것인지에 상관없으며 아말감(amalgam)은 제외한다],"Inorganic or organic compounds of mercury, whether or not chemically defined, excluding amalgams."
2853,"인화물(燐化物)(화학적으로 단일한 것인지에 상관없으며 인철은 제외한다), 그 밖의 무기화합물[증류수나 전도도수(傳導度水)와 이와 유사한 순도의 물을 포함한다], 액체 공기[희가스(rare gas)가 제거된 것인지에 상관없다], 압축 공기, 아말감(amalgam)[귀금속의 아말감(amalgam)은 제외한다]","Phosphides, whether or not chemically defined, excluding ferrophosphorus; other inorganic compounds (including distilled or conductivity water and water of similar purity); liquid air (whether or not rare gases have been removed); compressed air; amalgams, other than amalgams of precious metals."
2901,비환식탄화수소,Acyclic hydrocarbons.
2902,환식탄화수소,Cyclic hydrocarbons.
2903,탄화수소의 할로겐화 유도체,Halogenated derivatives of hydrocarbons.
2904,탄화수소의 술폰화유도체ㆍ니트로화유도체나 니트로소화유도체(할로겐화된 것인지에 상관없다),"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated."
2905,비환식알코올과 이들의 할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives."
2906,환식알코올과 이들의 할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives."
2907,페놀과 페놀알코올,Phenols; phenol-alcohols.
2908,페놀이나 페놀알코올의 할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체,"Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols."
2909,에테르ㆍ에테르알코올ㆍ에테르페놀ㆍ에테르알코올페놀ㆍ과산화알코올ㆍ과산화에테르ㆍ과산화아세탈과 과산화헤미아세탈ㆍ과산화케톤(화학적으로 단일한 것인지에 상관없다)과 이들의 할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체,"Ethers, ether-alcohols, ether-phenols, ether-alcohol-phenols, alcohol peroxides, ether peroxides, acetal and hemiacetal peroxides, ketone peroxides (whether or not chemically defined), and their halogenated, sulphonated, nitrated or nitrosated derivatives."
2910,3원고리의 에폭시드ㆍ에폭시알코올ㆍ에폭시페놀ㆍ에폭시에테르와 이들의 할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a three-membered ring, and their halogenated, sulphonated, nitrated or nitrosated derivatives."
2911,아세탈ㆍ헤미아세탈(그 밖의 산소관능 결합을 한 것인지에 상관없다)과 이들의 할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체,"Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulponated, nitrated or nitrosated derivatives."
2912,"알데히드(그 밖의 산소관능 결합을 한 것인지에 상관없다), 알데히드의 환식중합체, 파라포름알데히드","Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde."
2913,제2912호의 물품의 할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체,"Halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading 29.12."
2914,케톤ㆍ퀴논(그 밖의 산소관능 결합을 한 것인지에 상관없다)과 이들의 할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체,"Ketones and quinones, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives."
2915,"포화비환식모노카르복시산과 이들의 무수물(無水物)ㆍ할로겐화물ㆍ과산화물ㆍ과산화산, 이들의 할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체","Saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives."
2916,"불포화비환식모노카르복시산ㆍ환식모노카르복시산과 이들의 무수물(無水物)ㆍ할로겐화물ㆍ과산화물ㆍ과산화산, 이들의 할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체","Unsaturated acyclic monocarboxylic acids, cyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives."
2917,"폴리카르복시산과 이들의 무수물(無水物)ㆍ할로겐화물ㆍ과산화물ㆍ과산화산, 이들의 할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체","Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated nitrated or nitrosated derivatives."
